,Service,Period,10 msec,Freq f,f0 multiple,Priority,WCET,,Utility,,,,,,,
,F10,T1,2,0.5,2.5,1,C1,1,U1,50.00%,LCM =,10,,,,
,F20,T2,5,0.2,1,2,C2,2,U2,40.00%,LUB =,77.98%,,,,
,,,,,,,,,,,Utot =,90.00%,Slack,10.00%,Slack+U,100.00%
,,,,,,,,,,,,,,,,
RM Schedule,1,2,3,4,5,6,7,8,9,10,,,,,,
F10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
F20,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,SLACK,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
